Host Country,United States of America,United Kingdom
Côte d'Ivoire,1. Labour Market Search; 2. Employment Contract Approval Application; 3. Entry Approval Application; 4. Residence Permit Application; 5. Work Permit Card Application [Work Permit ],1. Labour Market Search; 2. Employment Contract Approval Application; 3. Entry Approval Application; 4. Residence Permit Application; 5. Work Permit Card Application [Work Permit ]
Croatia,1. EU ICT Authorisation Application; 2. Posted Worker Notification; 3. Address Registration; 4. EU ICT Card Application; 5. Registration at Local Police Station; 6. Residence Card Application and Collection for Dependents [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Work Permit Application; 2. Address Registration; 3. Residence Card Application; 4. Registration at Local Police Station; 5. Residence Card Application and Collection for Dependents [Local Hire Stay and Work Permit - Key Positions]; 1. EU Blue Card Application; 2. Address Registration; 3. Residence Card Application; 4. Temporary Residence Application for Dependents; 5. Address Registration for Dependents; 6. Residence Card Application and Collection for Dependents [EU Blue Card]; 1. Work Authorisation Certificate Application; 2. Posted Worker Notification; 3. Address Registration [Temporary Assignment (Under 90 Days) ],1. EU ICT Authorisation Application; 2. Posted Worker Notification; 3. Address Registration; 4. EU ICT Card Application; 5. Registration at Local Police Station; 6. Residence Card Application and Collection for Dependents [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Work Permit Application; 2. Address Registration; 3. Residence Card Application; 4. Registration at Local Police Station; 5. Residence Card Application and Collection for Dependents [Local Hire Stay and Work Permit - Key Positions]; 1. EU Blue Card Application; 2. Address Registration; 3. Residence Card Application; 4. Temporary Residence Application for Dependents; 5. Address Registration for Dependents; 6. Residence Card Application and Collection for Dependents [EU Blue Card]; 1. Work Authorisation Certificate Application; 2. Posted Worker Notification; 3. Address Registration [Temporary Assignment (Under 90 Days) ]
Cyprus,1. Application for Entry Permit and ICT Permit; 2. Registration and Biometrics [Intra-Corporate Transferee Permit (EU Directive 2014/66)]; 1. Permission to Hire Foreign National and Labour Market Search; 2. Employment Contract Endorsement; 3. Work and Residence Permit Application(s); 4. Alien Registration Certificate (ARC) and Biometrics [Temporary Residence Permit (Employment)]; 1. Entry Permit Application; 2. Post-Arrival Document Submission; 3. Alien Registration Certificate (ARC) and Biometrics [Work and Residence Permit (International Companies) ],1. Application for Entry Permit and ICT Permit; 2. Registration and Biometrics [Intra-Corporate Transferee Permit (EU Directive 2014/66)]; 1. Permission to Hire Foreign National and Labour Market Search; 2. Employment Contract Endorsement; 3. Work and Residence Permit Application(s); 4. Alien Registration Certificate (ARC) and Biometrics [Temporary Residence Permit (Employment)]; 1. Entry Permit Application; 2. Post-Arrival Document Submission; 3. Alien Registration Certificate (ARC) and Biometrics [Work and Residence Permit (International Companies) ]
Czech Republic,1. EU ICT Permit and D Visa Applications; 2. Registration with Labour Office; 3. Registration with Ministry of Interior and Biometric Data [Intra-Company Transfer Permit (EU Directive 2014/66) ]; 1. Labour Market Search; 2. Work Permit Application; 3. Visa Type C Application; 4. Registration with Labour Office; 5. Registration with Foreign Police [Temporary Work Permit (Local Hire Under 90 Days)]; 1. Labour Market Search; 2. Blue Card Application; 3. Visa Type D Application; 4. Residence Card Application and Biometric Data Submission; 5. Registration with Labour Office [Blue Card]; 1. Permission to Employ Foreign National; 2. Work Permit Application; 3. Employee Card and D Visa Applications; 4. Registration with Labour Office; 5. Registration with Ministry of Interior and Biometric Data [Work and Residence Permit (Assignment from Outside the EEA)]; 1. Employee Card Application and D Visa Applications; 2. Posted Worker Notification; 3. Registration with Ministry of Interior and Biometric Data [Van der Elst (Assignment from Within the EEA)]; 1. Labour Market Search; 2. Employee Card and D Visa Applications; 3. Registration with Ministry of Interior and Biometric Data; 4. Registration with Labour Office [Work and Residence Permit (Local Hire)]; 1. Visa Type C Application; 2. Registration with Labour Office; 3. Registration with Foreign Police [Temporary Assignments from Outside the EEA (Under 7 Consecutive Days)]; 1. Permission to Employ Foreign National; 2. Work Permit Application; 3. Visa Type C Application; 4. Registration with Labour Office; 5. Registration with Foreign Police [Temporary Work Permit from Outside the EEA (Assignment Under 90 Days)],1. EU ICT Permit and D Visa Applications; 2. Registration with Labour Office; 3. Registration with Ministry of Interior and Biometric Data [Intra-Company Transfer Permit (EU Directive 2014/66) ]; 1. Labour Market Search; 2. Work Permit Application; 3. Visa Type C Application; 4. Registration with Labour Office; 5. Registration with Foreign Police [Temporary Work Permit (Local Hire Under 90 Days)]; 1. Labour Market Search; 2. Blue Card Application; 3. Visa Type D Application; 4. Residence Card Application and Biometric Data Submission; 5. Registration with Labour Office [Blue Card]; 1. Permission to Employ Foreign National; 2. Work Permit Application; 3. Employee Card and D Visa Applications; 4. Registration with Labour Office; 5. Registration with Ministry of Interior and Biometric Data [Work and Residence Permit (Assignment from Outside the EEA)]; 1. Employee Card Application and D Visa Applications; 2. Posted Worker Notification; 3. Registration with Ministry of Interior and Biometric Data [Van der Elst (Assignment from Within the EEA)]; 1. Labour Market Search; 2. Employee Card and D Visa Applications; 3. Registration with Ministry of Interior and Biometric Data; 4. Registration with Labour Office [Work and Residence Permit (Local Hire)]; 1. Visa Type C Application; 2. Registration with Labour Office; 3. Registration with Foreign Police [Temporary Assignments from Outside the EEA (Under 7 Consecutive Days)]; 1. Permission to Employ Foreign National; 2. Work Permit Application; 3. Visa Type C Application; 4. Registration with Labour Office; 5. Registration with Foreign Police [Temporary Work Permit from Outside the EEA (Assignment Under 90 Days)]
Denmark,1. Work and Residence Permit Application; 2. Biometric Data Submission; 3. Posted Worker Notification (If Applicable); 4. Local Registration [Positive List]; 1. Work and Residence Permit Application; 2. Biometric Data and Security Checks; 3. Posted Worker Notification (If Applicable); 4. Biometric Data Submission for Dependents; 5. Local Registration [Fast-Track Scheme]; 1. Work and Residence Permit Application; 2. Biometric Data and Security Checks; 3. Posted Worker Notification (If Applicable); 4. Biometric Data Submission for Dependents [Fast-Track Scheme (Under 90 Days)]; 1. Posted Worker Notification (If Applicable) [Temporary Assignments (Under 90 Days) 'Fitter' Category]; 1. Posted Worker Notification [Van der Elst (Assignment from Within the EEA/EFTA up to 90 Days)]; 1. Work and Residence Permit Application; 2. Biometric Data Submission; 3. Posted Worker Notification (If Applicable); 4. Local Registration [Pay Limit Scheme],1. Work and Residence Permit Application; 2. Biometric Data Submission; 3. Posted Worker Notification (If Applicable); 4. Local Registration [Positive List]; 1. Work and Residence Permit Application; 2. Biometric Data and Security Checks; 3. Posted Worker Notification (If Applicable); 4. Biometric Data Submission for Dependents; 5. Local Registration [Fast-Track Scheme]; 1. Work and Residence Permit Application; 2. Biometric Data and Security Checks; 3. Posted Worker Notification (If Applicable); 4. Biometric Data Submission for Dependents [Fast-Track Scheme (Under 90 Days)]; 1. Posted Worker Notification (If Applicable) [Temporary Assignments (Under 90 Days) 'Fitter' Category]; 1. Posted Worker Notification [Van der Elst (Assignment from Within the EEA/EFTA up to 90 Days)]; 1. Work and Residence Permit Application; 2. Biometric Data Submission; 3. Posted Worker Notification (If Applicable); 4. Local Registration [Pay Limit Scheme]
Dominican Republic,1. Job Offer Registration; 2. NM1 Visa Application; 3. Employment Contract Registration; 4. Work Permit Application; 5. Work Permit Approval; 6. Temporary Worker Card Issuance [Temporary Worker (Trabajador Temporero)  ]; 1. Business Visa Application [Business (NM) Visa (Up to 2 Months)]; 1. NM1 Visa Application; 2. Residence Permit Application; 3. Residence Permit Approval; 4. Residence Card Issuance [Temporary Residence (Working Purposes) ]; 1. Business Visa Application; 2. Short-Stay Permit Application; 3. Short-Stay ID Card Issuance [Short-Term Work Permit (Under 11 Months)],1. Job Offer Registration; 2. NM1 Visa Application; 3. Employment Contract Registration; 4. Work Permit Application; 5. Work Permit Approval; 6. Temporary Worker Card Issuance [Temporary Worker (Trabajador Temporero)  ]; 1. Business Visa Application [Business (NM) Visa (Up to 2 Months)]; 1. NM1 Visa Application; 2. Residence Permit Application; 3. Residence Permit Approval; 4. Residence Card Issuance [Temporary Residence (Working Purposes) ]; 1. Business Visa Application; 2. Short-Stay Permit Application; 3. Short-Stay ID Card Issuance [Short-Term Work Permit (Under 11 Months)]
Ecuador,1. Visitor Visa Application; 2. Migratory Movement Certificate; 3. Temporary Residence Visa Application; 4. Social Security Registration; 5. Temporary Residence Payment and Collection; 6. Visa Application and Collection for Dependents [Temporary Residence for Working Purposes (Post-Arrival Change of Status) ]; 1. Temporary Residence Visa Application; 2. Visa Application for Dependents; 3. Temporary Residence Visa Registration with Foreign Ministry [Temporary Residence for Working Purposes (Consular Application)],1. Visitor Visa Application; 2. Migratory Movement Certificate; 3. Temporary Residence Visa Application; 4. Social Security Registration; 5. Temporary Residence Payment and Collection; 6. Visa Application and Collection for Dependents [Temporary Residence for Working Purposes (Post-Arrival Change of Status) ]; 1. Temporary Residence Visa Application; 2. Visa Application for Dependents; 3. Temporary Residence Visa Registration with Foreign Ministry [Temporary Residence for Working Purposes (Consular Application)]
Egypt,1. Prior to Entry Work Permit; 2. Local Registration; 3. Work Permit/Security Clearance Submission Application; 4. Issuance of First Residence Permit; 5. Issuance of Final Work Permit; 6. Issuance of Final Residence Permit [Work Permit],1. Prior to Entry Work Permit; 2. Local Registration; 3. Work Permit/Security Clearance Submission Application; 4. Issuance of First Residence Permit; 5. Issuance of Final Work Permit; 6. Issuance of Final Residence Permit [Work Permit]
El Salvador,1. Temporary Residence with Work Permit  Application; 2. Residence Card Application and Fingerprinting [Temporary Residence with Work Permit],1. Temporary Residence with Work Permit  Application; 2. Residence Card Application and Fingerprinting [Temporary Residence with Work Permit]
Estonia,1. Temporary Residence Permit Application; 2. Residence Registration [Temporary Residence Permit for Employment (Consular)]; 1. Temporary Residence Permit Application; 2. Residence Registration [Intra-Corporate Transfer Residence Permit (EU Directive 2014/66)]; 1. EU Blue Card Application; 2. Residence Registration [EU Blue Card]; 1. Registration of Short-Term Employment; 2. Long-Stay D Visa Application; 3. Residence Registration [Registration of Short-Term Employment],1. Temporary Residence Permit Application; 2. Residence Registration [Temporary Residence Permit for Employment (Consular)]; 1. Temporary Residence Permit Application; 2. Residence Registration [Intra-Corporate Transfer Residence Permit (EU Directive 2014/66)]; 1. EU Blue Card Application; 2. Residence Registration [EU Blue Card]; 1. Registration of Short-Term Employment; 2. Long-Stay D Visa Application; 3. Residence Registration [Registration of Short-Term Employment]
Finland,1. Posted Worker Notification [Temporary Assignments (Under 90 Days)]; 1. Posted Worker Notification [Van der Elst (Assignment from Within the EEA/EFTA Under 90 Days)]; 1. ICT Work and Residence Permit Online Application; 2. Personal Consular Appearance (Biometrics); 3. Posted Worker Notification (If Applicable); 4. Local Registration [Intra-Corporate Transfer Permit (EU Directive 2014/66)]; 1. Work and Residence Permit Online Application; 2. Personal Consular Appearance (Biometrics); 3. Labour Market Review; 4. Posted Worker Notification (If Applicable); 5. Local Registration [Residence Permit Based on Employment ]; 1. Work and Residence Permit Online Application; 2. Personal Consular Appearance (Biometrics); 3. Posted Worker Notification (If Applicable); 4. Local Registration [Residence Permit Based on Employment (Foreign Special Experts)]; 1. Blue Card Online Application; 2. Personal Consular Appearance (Biometrics); 3. Posted Worker Notification (If Applicable); 4. Local Registration [Blue Card],1. Posted Worker Notification [Temporary Assignments (Under 90 Days)]; 1. Posted Worker Notification [Van der Elst (Assignment from Within the EEA/EFTA Under 90 Days)]; 1. ICT Work and Residence Permit Online Application; 2. Personal Consular Appearance (Biometrics); 3. Posted Worker Notification (If Applicable); 4. Local Registration [Intra-Corporate Transfer Permit (EU Directive 2014/66)]; 1. Work and Residence Permit Online Application; 2. Personal Consular Appearance (Biometrics); 3. Labour Market Review; 4. Posted Worker Notification (If Applicable); 5. Local Registration [Residence Permit Based on Employment ]; 1. Work and Residence Permit Online Application; 2. Personal Consular Appearance (Biometrics); 3. Posted Worker Notification (If Applicable); 4. Local Registration [Residence Permit Based on Employment (Foreign Special Experts)]; 1. Blue Card Online Application; 2. Personal Consular Appearance (Biometrics); 3. Posted Worker Notification (If Applicable); 4. Local Registration [Blue Card]
France,"1. Passeport Talent - Salarié en Mission Visa Application; 2. Residence Permit (Titre de Séjour) Application; 3. Biometrics Appointment; 4. Travel Document for Minors [Passeport Talent - Salarié en Mission (Intra-Company, Local Contract)]; 1. Salarié Detaché ICT Visa Application; 2. Posted Worker Notification; 3. Residence Permit (Titre de Séjour) Application; 4. Biometrics Appointment; 5. Travel Document for Minors [ICT Salarié Detaché (EU Directive 2014/66)]; 1. Blue Card Visa Application; 2. Residence Permit (Titre de Séjour) Application; 3. Biometrics Appointment [European Blue Card (Passeport Talent - Carte Bleue Européenne) ]; 1. Work Permit Application; 2. Posted Worker Notification and Social Security Registration [Short-Term (Up to 90 Days) Foreign Service Providers (Détachés Hors Mobilité Intragroupe)]; 1. Work Authorisation Application; 2. Posted Worker Notification [Short-Term Work (Up to 90 Days) (Mobilité Intragroupe)]; 1. Posted Worker Notification; 2. Residence Permit (Titre de Séjour) Application; 3. Biometrics Appointment [Van der Elst (Assignment from Within the EEA)]; 1. Labour Market Test; 2. Work Permit Application; 3. Immigration Medical; 4. Long Stay Visa Application; 5. Immigration Medical [Local Hire (Salarié)]; 1. Work Permit Application; 2. Immigration Medical; 3. Long Stay Visa Application; 4. Posted Worker Notification and Social Security Registration; 5. Immigration Medical [Foreign Service Providers (Détachés Hors Mobilité Intragroupe)]; 1. Labour Market Test; 2. Work Permit Application; 3. Immigration Medical; 4. Long Stay Visa Application; 5. Immigration Medical and Confirmation of Long Stay Visa/Residence Permit at OFII [Local Hire - Temporary Workers (Travailleurs Temporaires)]","1. Passeport Talent - Salarié en Mission Visa Application; 2. Residence Permit (Titre de Séjour) Application; 3. Biometrics Appointment; 4. Travel Document for Minors [Passeport Talent - Salarié en Mission (Intra-Company, Local Contract)]; 1. Salarié Detaché ICT Visa Application; 2. Posted Worker Notification; 3. Residence Permit (Titre de Séjour) Application; 4. Biometrics Appointment; 5. Travel Document for Minors [ICT Salarié Detaché (EU Directive 2014/66)]; 1. Blue Card Visa Application; 2. Residence Permit (Titre de Séjour) Application; 3. Biometrics Appointment [European Blue Card (Passeport Talent - Carte Bleue Européenne) ]; 1. Work Permit Application; 2. Posted Worker Notification and Social Security Registration [Short-Term (Up to 90 Days) Foreign Service Providers (Détachés Hors Mobilité Intragroupe)]; 1. Work Authorisation Application; 2. Posted Worker Notification [Short-Term Work (Up to 90 Days) (Mobilité Intragroupe)]; 1. Posted Worker Notification; 2. Residence Permit (Titre de Séjour) Application; 3. Biometrics Appointment [Van der Elst (Assignment from Within the EEA)]; 1. Labour Market Test; 2. Work Permit Application; 3. Immigration Medical; 4. Long Stay Visa Application; 5. Immigration Medical [Local Hire (Salarié)]; 1. Work Permit Application; 2. Immigration Medical; 3. Long Stay Visa Application; 4. Posted Worker Notification and Social Security Registration; 5. Immigration Medical [Foreign Service Providers (Détachés Hors Mobilité Intragroupe)]; 1. Labour Market Test; 2. Work Permit Application; 3. Immigration Medical; 4. Long Stay Visa Application; 5. Immigration Medical and Confirmation of Long Stay Visa/Residence Permit at OFII [Local Hire - Temporary Workers (Travailleurs Temporaires)]"
Germany,1. Work Authorisation Application; 2. Visa Type D Application; 3. Posted Worker Notification (If Applicable); 4. Town Hall Registration; 5. Residence Permit Application [Residence Permit for Employment (International Personnel Exchange)]; 1. EU ICT Application; 2. Visa Type D Application; 3. Posted Worker Notification (If Applicable); 4. Town Hall Registration; 5. EU ICT Card Application [Intra-Company Transfer Permit (EU Directive 2014/66) ]; 1. Qualification Recognition; 2. Work Authorisation Application; 3. Visa Type D Application; 4. Town Hall Registration; 5. Residence Permit Application [Residence Permit for Employment (Local Hire)]; 1. Prior Work Authorisation Application (Shortage Occupations and No German University Degree); 2. Visa Type D Application; 3. Visa Type D Collection; 4. Town Hall Registration; 5. Residence Permit Application [Blue Card (Blaue Karte)]; 1. Labour Notification; 2. Posted Worker Notification (If Applicable); 3. Town Hall Registration [Temporary Assignment (Under 90 Days)]; 1. Van der Elst Visa Application; 2. Van der Elst Visa Collection; 3. Posted Worker Notification (If Applicable); 4. Town Hall Registration [Van der Elst (Assignment from Within the EEA)]; 1. Work Authorisation Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Town Hall Registration; 5. Residence Permit Application [Residence Permit for Employment (Assignment) ]; 1. Work Authorisation Application; 2. Visa Type D Application; 3. Town Hall Registration; 4. Residence Permit Application [Residence Permit for Employment (IT Specialists)],1. Work Authorisation Application; 2. Visa Type D Application; 3. Posted Worker Notification (If Applicable); 4. Town Hall Registration; 5. Residence Permit Application [Residence Permit for Employment (International Personnel Exchange)]; 1. EU ICT Application; 2. Visa Type D Application; 3. Posted Worker Notification (If Applicable); 4. Town Hall Registration; 5. EU ICT Card Application [Intra-Company Transfer Permit (EU Directive 2014/66) ]; 1. Qualification Recognition; 2. Work Authorisation Application; 3. Visa Type D Application; 4. Town Hall Registration; 5. Residence Permit Application [Residence Permit for Employment (Local Hire)]; 1. Prior Work Authorisation Application (Shortage Occupations and No German University Degree); 2. Visa Type D Application; 3. Visa Type D Collection; 4. Town Hall Registration; 5. Residence Permit Application [Blue Card (Blaue Karte)]; 1. Labour Notification; 2. Posted Worker Notification (If Applicable); 3. Town Hall Registration [Temporary Assignment (Under 90 Days)]; 1. Van der Elst Visa Application; 2. Van der Elst Visa Collection; 3. Posted Worker Notification (If Applicable); 4. Town Hall Registration [Van der Elst (Assignment from Within the EEA)]; 1. Work Authorisation Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Town Hall Registration; 5. Residence Permit Application [Residence Permit for Employment (Assignment) ]; 1. Work Authorisation Application; 2. Visa Type D Application; 3. Town Hall Registration; 4. Residence Permit Application [Residence Permit for Employment (IT Specialists)]
Ghana,1. Rotator Work Permit Application; 2. Entry Visa Application; 3. National Identification Authority (NIA) Registration; 4. Residence Permit Application [Rotator Permit (Oil and Gas)]; 1. Discretionary Quota Request; 2. Work Permit Application; 3. Entry Visa Application; 4. National Identification Authority (NIA) Registration; 5. Residence Permit Application [Work Permit (Discretionary Quota)]; 1. Local Labour Market Search; 2. Work Permit Application; 3. Entry Visa Application; 4. National Identification Authority (NIA) Registration; 5. Residence Permit Application [Work Permit (Oil and Gas)]; 1. Work Permit (In Quota) Application; 2. Entry Visa Application; 3. National Identification Authority (NIA) Registration; 4. Residence Permit Application [Work Permit (In Quota)],1. Rotator Work Permit Application; 2. Entry Visa Application; 3. National Identification Authority (NIA) Registration; 4. Residence Permit Application [Rotator Permit (Oil and Gas)]; 1. Discretionary Quota Request; 2. Work Permit Application; 3. Entry Visa Application; 4. National Identification Authority (NIA) Registration; 5. Residence Permit Application [Work Permit (Discretionary Quota)]; 1. Local Labour Market Search; 2. Work Permit Application; 3. Entry Visa Application; 4. National Identification Authority (NIA) Registration; 5. Residence Permit Application [Work Permit (Oil and Gas)]; 1. Work Permit (In Quota) Application; 2. Entry Visa Application; 3. National Identification Authority (NIA) Registration; 4. Residence Permit Application [Work Permit (In Quota)]
Greece,"1. Visa Type D Application; 2. Posted Worker Notification (If Applicable) [Short-Term Assignment for Technical Staff (Article 18, Paragraph 1E)]; 1. Visa Type D Application; 2. Residence Permit for Employment Application; 3. Fingerprints and Biometric Data [Local Hire Work Permit, Senior Employees (Article 17)]; 1. Visa Type D Application; 2. Posted Worker Notification; 3. ICT Residence Permit Application; 4. Fingerprints and Biometric Data [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Van der Elst Visa Application; 2. Posted Worker Notification [Van der Elst (Assignment from Within the EEA) (Article 18, Paragraph 1D)]","1. Visa Type D Application; 2. Posted Worker Notification (If Applicable) [Short-Term Assignment for Technical Staff (Article 18, Paragraph 1E)]; 1. Visa Type D Application; 2. Residence Permit for Employment Application; 3. Fingerprints and Biometric Data [Local Hire Work Permit, Senior Employees (Article 17)]; 1. Visa Type D Application; 2. Posted Worker Notification; 3. ICT Residence Permit Application; 4. Fingerprints and Biometric Data [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Van der Elst Visa Application; 2. Posted Worker Notification [Van der Elst (Assignment from Within the EEA) (Article 18, Paragraph 1D)]"
Guatemala,1. Temporary Residence Permit Application; 2. Work Permit Application; 3. Temporary Residence Permit Processing; 4. Temporary Residence Application for Dependents [Temporary Residence for Migrant Worker],1. Temporary Residence Permit Application; 2. Work Permit Application; 3. Temporary Residence Permit Processing; 4. Temporary Residence Application for Dependents [Temporary Residence for Migrant Worker]
Honduras,1. Employment Contract Approval and Statement of Compliance Application at Labour Ministry; 2. Temporary Residence Approval; 3. Registration and Residence Card Application; 4. Residence Card Approval and Collection [Temporary Residence (Working Purposes)],1. Employment Contract Approval and Statement of Compliance Application at Labour Ministry; 2. Temporary Residence Approval; 3. Registration and Residence Card Application; 4. Residence Card Approval and Collection [Temporary Residence (Working Purposes)]
Hong Kong,1. Employment Visa/Dependent Visa Application; 2. Hong Kong ID Card Application [Employment Visa]; 1. Training Visa/Dependent Visa Application; 2. Hong Kong ID Card Application [Training Visa],1. Employment Visa/Dependent Visa Application; 2. Hong Kong ID Card Application [Employment Visa]; 1. Training Visa/Dependent Visa Application; 2. Hong Kong ID Card Application [Training Visa]
Hungary,1. Labour Market Search; 2. Work and Residence Permit Application; 3. Address Registration [Work and Residence Permit (Consular Application)]; 1. Work and Residence Permit Application; 2. Address Registration [Intra-Company Transfer Permit (EU Directive 2014/66) Consular Application]; 1. Labour Market Search; 2. Work and Residence Permit Application; 3. Address Registration; 4. Work and Residence Card Collection [Work and Residence Permit (In-Country Application)]; 1. Labour Market Search; 2. Work Permit Application; 3. Posted Worker Notification (If Applicable) [Temporary Work Permit (Under 90 Days)]; 1. Posted Worker Notification (If Applicable) [Temporary Assignments (Under 15 Days)]; 1. Posted Worker Notification; 2. Notification to Labour Office; 3. Address Registration; 4. Residence Permit Application [Van der Elst (Assignment from Within the EEA)]; 1. Address Registration; 2. Work and Residence Permit Application [Intra-Company Transfer Permit (EU Directive 2014/66) In-Country Application],1. Labour Market Search; 2. Work and Residence Permit Application; 3. Address Registration [Work and Residence Permit (Consular Application)]; 1. Work and Residence Permit Application; 2. Address Registration [Intra-Company Transfer Permit (EU Directive 2014/66) Consular Application]; 1. Labour Market Search; 2. Work and Residence Permit Application; 3. Address Registration; 4. Work and Residence Card Collection [Work and Residence Permit (In-Country Application)]; 1. Labour Market Search; 2. Work Permit Application; 3. Posted Worker Notification (If Applicable) [Temporary Work Permit (Under 90 Days)]; 1. Posted Worker Notification (If Applicable) [Temporary Assignments (Under 15 Days)]; 1. Posted Worker Notification; 2. Notification to Labour Office; 3. Address Registration; 4. Residence Permit Application [Van der Elst (Assignment from Within the EEA)]; 1. Address Registration; 2. Work and Residence Permit Application [Intra-Company Transfer Permit (EU Directive 2014/66) In-Country Application]
Iceland,1. Notification of Posting; 2. Work and Residence Permit Application; 3. Residence Card Photographs [Work and Residence Permit (Service Contract)]; 1. Work and Residence Permit Application; 2. Residence Card Photographs [Work and Residence Permit (Expert Knowledge)]; 1. Work and Residence Permit Application; 2. Residence Card Photographs [Work and Residence Permit (Shortage of Labourers)],1. Notification of Posting; 2. Work and Residence Permit Application; 3. Residence Card Photographs [Work and Residence Permit (Service Contract)]; 1. Work and Residence Permit Application; 2. Residence Card Photographs [Work and Residence Permit (Expert Knowledge)]; 1. Work and Residence Permit Application; 2. Residence Card Photographs [Work and Residence Permit (Shortage of Labourers)]
India,1. Employment Visa Application; 2. FRRO Registration [Employment Visa],1. Employment Visa Application; 2. FRRO Registration [Employment Visa]
Indonesia,1. RPTKA (Expatriate Placement Plan) Application; 2. Notification MOM; 3. Electronic Stay Visa (E-Visa); 4. Limited Stay Permit (ITAS) and Multiple Exit Re-Entry Permits (MERP) Application for Dependents; 5. Registration with Local Police; 6. Temporary Residence Certificate (SKTTS); 7. Expatriate Existence Report [Standard Work Permit]; 1. RPTKA (Expatriate Placement Plan) Application; 2. Notification MOM; 3. Electronic Stay Visa (E-Visa); 4. Limited Stay Permit (ITAS) and Multiple Exit Re-Entry Permits (MERP) Application for Dependents; 5. Registration with Local Police; 6. Temporary Residence Certificate (SKTTS); 7. Expatriate Existence Report (L/K) [Temporary Work Permit (Up to 180 Days)]; 1. RPTKA (Expatriate Placement Plan) Application; 2. Notification MOM; 3. Electronic Stay Visa (E-Visa); 4. Registration with Local Police [Urgent or Temporary Work Permit (Up to 1 Month)],1. RPTKA (Expatriate Placement Plan) Application; 2. Notification MOM; 3. Electronic Stay Visa (E-Visa); 4. Limited Stay Permit (ITAS) and Multiple Exit Re-Entry Permits (MERP) Application for Dependents; 5. Registration with Local Police; 6. Temporary Residence Certificate (SKTTS); 7. Expatriate Existence Report [Standard Work Permit]; 1. RPTKA (Expatriate Placement Plan) Application; 2. Notification MOM; 3. Electronic Stay Visa (E-Visa); 4. Limited Stay Permit (ITAS) and Multiple Exit Re-Entry Permits (MERP) Application for Dependents; 5. Registration with Local Police; 6. Temporary Residence Certificate (SKTTS); 7. Expatriate Existence Report (L/K) [Temporary Work Permit (Up to 180 Days)]; 1. RPTKA (Expatriate Placement Plan) Application; 2. Notification MOM; 3. Electronic Stay Visa (E-Visa); 4. Registration with Local Police [Urgent or Temporary Work Permit (Up to 1 Month)]
Ireland,1. Intra-Company Transfer Permit Application; 2. Posted Worker Notification (If Applicable); 3. IRP Registration [Intra-Company Transfer Permit]; 1. Critical Skills Permit Application; 2. IRP Registration [Critical Skills Employment Permit]; 1. Labour Market Test; 2. Employment Permit Application; 3. IRP Registration [General Employment Permit]; 1. Labour Market Test; 2. Contract for Services Employment Permit Application; 3. Posted Worker Notification (If Applicable); 4. IRP Registration [Contract for Services Permit]; 1. Approval Application to Irish Naturalisation and Immigration Service; 2. Posted Worker Notification (If Applicable); 3. Entry to Ireland [Atypical Working Scheme ]; 1. Posted Worker Notification; 2. IRP Registration [Van der Elst (Assignment from Within the EEA)],1. Intra-Company Transfer Permit Application; 2. Posted Worker Notification (If Applicable); 3. IRP Registration [Intra-Company Transfer Permit]; 1. Critical Skills Permit Application; 2. IRP Registration [Critical Skills Employment Permit]; 1. Labour Market Test; 2. Employment Permit Application [General Employment Permit]; 1. Labour Market Test; 2. Contract for Services Employment Permit Application; 3. Posted Worker Notification (If Applicable) [Contract for Services Permit]; 1. Approval Application to Irish Naturalisation and Immigration Service; 2. Posted Worker Notification (If Applicable) [Atypical Working Scheme ]; 1. Posted Worker Notification; 2. IRP Registration [Van der Elst (Assignment from Within the EEA)]
